brand,shops,states,cities,shop_types,spellings_seen,carried_by,assessed,verdict,notes
Nuataaq,1,PA,Philadelphia,Multigender 1,Nuataaq,Totem Brand Co.,no,,
Nudie Jeans,1,NJ,Somerville,Multigender 1,Nudie Jeans,Evolve Clothing Gallery,no,,
Nudie Jeans Co,1,NJ,Maplewood,In scope 1,Nudie Jeans Co,City Workshop Men's Supply Co.,no,,
O.P. Jewellery,1,PA,Philadelphia,In scope 1,O.P. Jewellery,Franklin & Poe,no,,
OTO,1,PA,Wayne,Multigender 1,OTO,Out There Outfitters,no,,
Oamc,1,PA,Pittsburgh,Multigender 1,OAMC,TONS,no,,
Off-White,1,PA,Pittsburgh,Multigender 1,Off-White,TONS,no,,
Ohto,1,PA,Philadelphia,Multigender 1,OHTO,Totem Brand Co.,no,,
Old World Christmas,1,PA,State College,Multigender 1,Old World Christmas,Harpers,no,,
Olight,1,PA,Philadelphia,Multigender 1,Olight,Totem Brand Co.,no,,
Omoto Denim,1,PA,Philadelphia,In scope 1,Omoto Denim,Franklin & Poe,no,,
On Cloud,1,NJ,Cape May,Multigender 1,On Cloud,Galvanic,no,,
On Running,1,PA,Allentown,Multigender 1,On Running,assembly88,no,,
Oncept,1,PA,Phoenixville,In scope 1,Oncept,Weitzenkorn's,no,,
Onewheel,1,PA,Philadelphia,Multigender 1,Onewheel,Totem Brand Co.,no,,
Oni Denim,1,PA,Philadelphia,In scope 1,Oni Denim,Franklin & Poe,no,,
Opinel,1,PA,Wayne,Multigender 1,Opinel,Out There Outfitters,no,,
Orciani,1,PA,Pittsburgh,Multigender 1,Orciani,Moda,no,,
Orgueil,1,NJ,Maplewood,In scope 1,Orgueil,City Workshop Men's Supply Co.,no,,
Original Madras Trading Company,1,PA,State College,Multigender 1,Original Madras Trading Company,Harpers,no,,
Original Retro Brand,1,PA,State College,Multigender 1,Original Retro Brand,Harpers,no,,
Orvis,1,PA,Bedford,Multigender 1,Orvis,Cove Creek Outfitters,no,,
Ottolinger,1,PA,Pittsburgh,Multigender 1,Ottolinger,TONS,no,,
Ouray,1,PA,State College,Multigender 1,Ouray,Harpers,no,,
Outclass,1,NJ,Maplewood,In scope 1,Outclass,City Workshop Men's Supply Co.,no,,
Outdoor Fellow,1,NJ,Maplewood,In scope 1,Outdoor Fellow,City Workshop Men's Supply Co.,no,,
Outdoor Research,1,PA,Philadelphia,Multigender 1,Outdoor Research,Totem Brand Co.,no,,
Oxford Pennants,1,NJ,Long Beach Township,Multigender 1,Oxford Pennants,Sink R Swim,no,,
PF Flyers,1,PA,Philadelphia,Multigender 1,PF Flyers,Totem Brand Co.,no,,
Pacific Silk,1,PA,Ligonier,In scope 1,Pacific Silk,Post & Rail Men's Shop,no,,
Padmore & Barnes,1,NJ,Maplewood,In scope 1,Padmore & Barnes,City Workshop Men's Supply Co.,no,,
Pampeano,1,PA,State College,Multigender 1,Pampeano,Harpers,no,,
Pantherella,1,PA,Wayne,In scope 1,PANTHERELLA,Boyds,no,,
Paolo Albizzati,1,PA,Wayne,In scope 1,PAOLO ALBIZZATI,Boyds,no,,
Paolo Vitale,1,PA,Wayne,In scope 1,PAOLO VITALE,Boyds,no,,
Papa Nui Cap Co.,1,PA,Philadelphia,In scope 1,Papa Nui Cap Co.,Franklin & Poe,no,,
Paraboot,1,PA,Philadelphia,Multigender 1,Paraboot,Totem Brand Co.,no,,
Parajumpers,1,PA,Wayne,In scope 1,PARAJUMPERS,Boyds,no,,
Pashmere,1,PA,Wayne,In scope 1,PASHMERE,Boyds,no,,
Pasotti,1,PA,Wayne,In scope 1,PASOTTI,Boyds,no,,
Patrick King Woolens,1,PA,State College,Multigender 1,Patrick King Woolens,Harpers,no,,
Patty Kim,1,PA,State College,Multigender 1,Patty Kim,Harpers,no,,
Peru Unlimited,1,PA,Wayne,In scope 1,PERU UNLIMITED,Boyds,no,,
Petrocelli,1,PA,Johnstown,In scope 1,Petrocelli,Millers of Johnstown,no,,
Piacenza 1733,1,PA,Pittsburgh,Multigender 1,Piacenza 1733,Larrimor's,no,,
Pietra Salata,1,PA,Wayne,In scope 1,PIETRA SALATA,Boyds,no,,
Pink Pineapple,1,PA,Allentown,Multigender 1,Pink Pineapple,assembly88,no,,
Pistol,1,PA,Wayne,Multigender 1,Pistol,Out There Outfitters,no,,
Pistola,1,PA,Allentown,Multigender 1,Pistola,assembly88,no,,
Plushland,1,PA,State College,Multigender 1,Plushland,Harpers,no,,
Polifroni,1,PA,Pittsburgh,In scope 1,Polifroni,Heinz Healey's,no,,
Polo by Ralph Lauren,1,PA,Malvern,In scope 1,Polo by Ralph Lauren,Englund's Apparel for Men,no,,
Ponyflo,1,PA,State College,Multigender 1,Ponyflo,Harpers,no,,
Porto,1,PA,Pittsburgh,Multigender 1,Porto,Larrimor's,no,,
Portuguese Flannel,1,PA,Pittsburgh,In scope 1,Portuguese Flannel,Vestis,no,,
Post O'Alls,1,PA,Philadelphia,Multigender 1,Post O'Alls,Totem Brand Co.,no,,
Pottery,1,PA,Philadelphia,Multigender 1,POTTERY,Totem Brand Co.,no,,
Prana,1,PA,Wayne,Multigender 1,Prana,Out There Outfitters,no,,
Presidents,1,NJ,Asbury Park,Multigender 1,PRESIDENTS,New Hour Clothing,no,,
Proper Dress and Sports Shirts,1,PA,Johnstown,In scope 1,Proper Dress and Sports Shirts,Millers of Johnstown,no,,
Pt Torino,1,PA,Wayne,In scope 1,PT TORINO,Boyds,no,,
Pt01,1,PA,Pittsburgh,Multigender 1,PT01,Larrimor's,no,,
Puma,1,PA,Philadelphia,Multigender 1,PUMA,Totem Brand Co.,no,,
R. Hanauer,1,PA,Ligonier,In scope 1,R. Hanauer,Post & Rail Men's Shop,no,,
R. Hanauer Inc.,1,PA,State College,Multigender 1,R. Hanauer Inc.,Harpers,no,,
Radar,1,PA,Philadelphia,Multigender 1,Radar,Totem Brand Co.,no,,
Rainbow Sandals,1,PA,Wayne,Multigender 1,Rainbow Sandals,Out There Outfitters,no,,
Rains,1,NJ,Somerville,Multigender 1,Rains,Evolve Clothing Gallery,no,,
Ravazzolo,1,PA,Wayne,In scope 1,RAVAZZOLO,Boyds,no,,
Renoir,1,PA,Johnstown,In scope 1,Renoir,Millers of Johnstown,no,,
Represent Clo,1,NJ,Somerville,Multigender 1,Represent Clo,Evolve Clothing Gallery,no,,
Resolute,1,PA,Philadelphia,Multigender 1,Resolute,Totem Brand Co.,no,,
RetroSuperFuture,1,NJ,Somerville,Multigender 1,RetroSuperFuture,Evolve Clothing Gallery,no,,
Rifugio,1,PA,Wayne,In scope 1,RIFUGIO,Boyds,no,,
Riviera Pants,1,PA,Pittsburgh,In scope 1,Riviera Pants,Heinz Healey's,no,,
Robert Keyte,1,PA,Warrendale,Multigender 1,Robert Keyte,Oxford & Derby,no,,
Rochester Shoe Tree Company,1,PA,Pittsburgh,Multigender 1,Rochester Shoe Tree Company,Larrimor's,no,,
Roja,1,PA,Pittsburgh,Multigender 1,Roja,Moda,no,,
Rosy Rings,1,PA,Philadelphia,Multigender 1,Rosy Rings,Totem Brand Co.,no,,
Royall Fragrances,1,PA,Ligonier,In scope 1,Royall Fragrances,Post & Rail Men's Shop,no,,
Royall Lyme of Bermuda,1,PA,State College,Multigender 1,Royall Lyme of Bermuda,Harpers,no,,
Rumpl,1,PA,Philadelphia,Multigender 1,Rumpl,Totem Brand Co.,no,,
S'envoler,1,NJ,Asbury Park,Multigender 1,S'envoler,New Hour Clothing,no,,
S.Cohen,1,PA,Phoenixville,In scope 1,S.Cohen,Weitzenkorn's,no,,
S.T.E.P.,1,PA,State College,Multigender 1,S.T.E.P.,Harpers,no,,
SALT. Optics,1,PA,Philadelphia,In scope 1,SALT. Optics,Franklin & Poe,no,,
SECRID Wallets,1,NJ,Maplewood,In scope 1,SECRID Wallets,City Workshop Men's Supply Co.,no,,
Sable,1,NJ,Maplewood,In scope 1,Sable,City Workshop Men's Supply Co.,no,,
Saint James Knitwear,1,PA,Warrendale,Multigender 1,Saint James Knitwear,Oxford & Derby,no,,
